Date,lme,alua_ars,dxy,ggal_adr,ggal_ars,txar_ars,sp500,merval,us10y,lme_adj,alua_ars_adj,dxy_adj,ggal_adr_adj,ggal_ars_adj,txar_ars_adj,sp500_adj,merval_adj,us10y_adj
2020-10-13,1866.75,51.099998474121094,93.52999877929688,6.789999961853027,107.80000305175781,45.849998474121094,3511.929931640625,45995.0,0.7269999980926514,1866.75,46.55897903442383,93.52999877929688,5.192169666290283,79.79178619384766,38.215660095214844,3511.929931640625,45995.0,0.7269999980926514
2020-10-14,1859.75,52.70000076293945,93.37999725341797,6.610000133514404,107.75,47.599998474121094,3488.669921875,47295.0,0.722000002861023,1859.75,48.01679611206055,93.37999725341797,5.054525852203369,79.7547607421875,39.67427062988281,3488.669921875,47295.0,0.722000002861023
2020-10-15,1861.5,54.099998474121094,93.86000061035156,6.559999942779541,109.69999694824219,49.599998474121094,3483.340087890625,48239.0,0.7310000061988831,1861.5,49.29237747192383,93.86000061035156,5.016292572021484,81.19812774658203,41.34125518798828,3483.340087890625,48239.0,0.7310000061988831
2020-10-16,1871.75,53.70000076293945,93.68000030517578,6.760000228881836,114.30000305175781,51.099998474121094,3483.81005859375,49024.0,0.7440000176429749,1871.75,48.92792892456055,93.68000030517578,5.169228553771973,84.60298156738281,42.591495513916016,3483.81005859375,49024.0,0.7440000176429749
2020-10-19,1858.0,50.900001525878906,93.43000030517578,6.889999866485596,115.3499984741211,49.599998474121094,3426.919921875,49162.0,0.7609999775886536,1858.0,46.37675476074219,93.43000030517578,5.2686357498168945,85.38016510009766,41.34125518798828,3426.919921875,49162.0,0.7609999775886536
2020-10-20,1841.0,51.0,93.06999969482422,6.610000133514404,113.75,51.29999923706055,3443.1201171875,49684.0,0.796999990940094,1841.0,46.467864990234375,93.06999969482422,5.054525852203369,84.19586181640625,42.75819778442383,3443.1201171875,49684.0,0.796999990940094
2020-10-21,1851.5,52.20000076293945,92.61000061035156,6.489999771118164,115.0,52.599998474121094,3435.56005859375,50089.0,0.8159999847412109,1851.5,47.56122970581055,92.61000061035156,4.962765216827393,85.1211166381836,43.84173583984375,3435.56005859375,50089.0,0.8159999847412109
2020-10-22,1845.25,52.29999923706055,92.94999694824219,6.599999904632568,119.9000015258789,53.400001525878906,3453.489990234375,51672.0,0.8479999899864197,1845.25,47.65234375,92.94999694824219,5.046879768371582,88.74800872802734,44.5085334777832,3453.489990234375,51672.0,0.8479999899864197
2020-10-23,1845.5,52.79999923706055,92.7699966430664,6.650000095367432,118.80000305175781,57.599998474121094,3465.389892578125,52513.0,0.8410000205039978,1845.5,48.10791015625,92.7699966430664,5.0851149559021,87.93380737304688,48.00920486450195,3465.389892578125,52513.0,0.8410000205039978
2020-10-26,1831.25,51.29999923706055,93.05000305175781,6.71999979019165,112.19999694824219,56.099998474121094,3400.969970703125,49597.0,0.8009999990463257,1831.25,46.74120330810547,93.05000305175781,5.1386399269104,83.04856872558594,46.75896453857422,3400.969970703125,49597.0,0.8009999990463257
2020-10-27,1825.0,49.650001525878906,92.94000244140625,6.360000133514404,106.05000305175781,51.099998474121094,3390.679931640625,46708.0,0.777999997138977,1825.0,45.23783874511719,92.94000244140625,4.8633575439453125,78.49645233154297,42.591495513916016,3390.679931640625,46708.0,0.777999997138977
2020-10-28,1811.5,47.0,93.41000366210938,6.119999885559082,97.94999694824219,49.04999923706055,3271.030029296875,43533.0,0.781000018119812,1811.5,42.82332992553711,93.41000366210938,4.679833889007568,72.5009765625,40.882835388183594,3271.030029296875,43533.0,0.781000018119812
2020-10-29,1801.25,48.79999923706055,93.95999908447266,6.309999942779541,100.55000305175781,51.29999923706055,3310.110107421875,44914.0,0.8349999785423279,1801.25,44.4633674621582,93.95999908447266,4.825122833251953,74.42545318603516,42.75819778442383,3310.110107421875,44914.0,0.8349999785423279
2020-10-30,1830.25,51.400001525878906,94.04000091552734,6.260000228881836,96.4000015258789,57.900001525878906,3269.9599609375,45290.0,0.8600000143051147,1830.25,46.83232116699219,94.04000091552734,4.786888599395752,71.35368347167969,48.25925064086914,3269.9599609375,45290.0,0.8600000143051147
2020-11-02,1873.25,51.5,94.05000305175781,6.940000057220459,107.8499984741211,57.70000076293945,3310.239990234375,47468.0,0.8489999771118164,1873.25,46.92343521118164,94.05000305175781,5.3068718910217285,79.82878875732422,48.092552185058594,3310.239990234375,47468.0,0.8489999771118164
2020-11-03,1901.75,49.900001525878906,93.55000305175781,7.050000190734863,108.8499984741211,57.20000076293945,3369.159912109375,47965.0,0.8820000290870667,1901.75,45.46562194824219,93.55000305175781,5.390985012054443,80.56897735595703,47.675804138183594,3369.159912109375,47965.0,0.8820000290870667
2020-11-04,1908.75,49.45000076293945,93.41000366210938,7.019999980926514,107.3499984741211,54.5,3443.43994140625,47028.0,0.7680000066757202,1908.75,45.05561065673828,93.41000366210938,5.368045806884766,79.45867919921875,45.42537307739258,3443.43994140625,47028.0,0.7680000066757202
2020-11-05,1895.5,49.75,92.52999877929688,7.519999980926514,115.0,55.29999923706055,3510.449951171875,48501.0,0.7760000228881836,1895.5,45.32895278930664,92.52999877929688,5.750384330749512,85.1211166381836,46.092166900634766,3510.449951171875,48501.0,0.7760000228881836
